country_name,player_name,country_code,age,continent,Value,fifa_score,Club,Salary,salary_n,value_n
Algeria,I. Messaoud,DZ,17,AF,€110K,Fifa Score,GFC Ajaccio,€1K,1000,110000
Algeria,M. Boulahia,DZ,20,AF,€600K,Fifa Score,Atlético Madrid,€7K,7000,600000
Algeria,I. Bennacer,DZ,19,AF,€525K,Fifa Score,Empoli,€1K,1000,525000
Algeria,R. Kenniche,DZ,24,AF,€500K,Fifa Score,Al Qadisiyah,€4K,4000,500000
Algeria,Y. Belaïli,DZ,25,AF,€575K,Fifa Score,Angers SCO,€7K,7000,575000
Algeria,A. Omrani,DZ,26,AF,€650K,Fifa Score,Oldham Athletic,€2K,2000,650000
Algeria,Y. Attal,DZ,21,AF,€725K,Fifa Score,KV Kortrijk,€3K,3000,725000
Algeria,A. Doukha,DZ,30,AF,€350K,Fifa Score,Ohod Club,€5K,5000,350000
Algeria,M. Jeannin,DZ,26,AF,€575K,Fifa Score,Clermont Foot 63,€2K,2000,575000
Algeria,A. Tahar,DZ,27,AF,€550K,Fifa Score,Boavista FC,€3K,3000,550000
Algeria,F. Makhedjouf,DZ,26,AF,€750K,Fifa Score,Tours FC,€2K,2000,750000
Algeria,F. Harek,DZ,34,AF,€200K,Fifa Score,Nîmes Olympique,€2K,2000,200000
Algeria,M. Benyettou,DZ,27,AF,€825K,Fifa Score,Al Shabab,€21K,21000,825000
Algeria,F. Kadir,DZ,33,AF,€475K,Fifa Score,AD Alcorcón,€7K,7000,475000
Algeria,K. Matmour,DZ,32,AF,€700K,Fifa Score,Adelaide United,€5K,5000,700000
Algeria,S. Benrahma,DZ,21,AF,€1.3M,Fifa Score,La Berrichonne de Châteauroux,€14K,14000,1.3000000
Algeria,H. Belkebla,DZ,23,AF,€1.4M,Fifa Score,Tours FC,€4K,4000,1.4000000
Algeria,L. Agouazi,DZ,33,AF,€375K,Fifa Score,Chamois Niortais FC,€4K,4000,375000
Algeria,I. Ouali,DZ,29,AF,€875K,Fifa Score,KV Kortrijk,€10K,10000,875000
