country_name,player_name,country_code,age,continent,Value,fifa_score,Club,Salary,salary_n,value_n
Albania,B. Bytyqi,AL,20,EU,€40K,Fifa Score,Aalborg BK,€1K,1000,40000
Albania,A. Avdijaj,AL,23,EU,€130K,Fifa Score,Grasshopper Club Zürich,€3K,3000,130000
Albania,A. Ajdarević,AL,19,EU,€130K,Fifa Score,Örebro SK,€1K,1000,130000
Albania,G. Taipi,AL,24,EU,€120K,Fifa Score,FC St. Gallen,€2K,2000,120000
Albania,E. Kaja,AL,19,EU,€140K,Fifa Score,AFC Wimbledon,€1K,1000,140000
Albania,V. Mustafa,AL,19,EU,€180K,Fifa Score,1. FC Kaiserslautern,€1K,1000,180000
Albania,A. Zeka,AL,18,EU,€325K,Fifa Score,LOSC Lille,€4K,4000,325000
Albania,E. Ndoj,AL,20,EU,€325K,Fifa Score,Brescia,€1K,1000,325000
Albania,Q. Laçi,AL,21,EU,€400K,Fifa Score,AC Ajaccio,€1K,1000,400000
Albania,K. Bare,AL,19,EU,€575K,Fifa Score,Atlético Madrid,€5K,5000,575000
Albania,B. Kukeli,AL,33,EU,€220K,Fifa Score,FC Sion,€4K,4000,220000
Albania,A. Vajushi,AL,25,EU,€450K,Fifa Score,Vercelli,€1K,1000,450000
Albania,S. Binakaj,AL,28,EU,€375K,Fifa Score,SG Sonnenhof Großaspach,€1K,1000,375000
Albania,A. Sadiku,AL,26,EU,€825K,Fifa Score,Legia Warszawa,€4K,4000,825000
Albania,O. Roshi,AL,26,EU,€750K,Fifa Score,Terek Grozny,€9K,9000,750000
Albania,F. Veseli,AL,24,EU,€700K,Fifa Score,Empoli,€1K,1000,700000
Albania,R. Manaj,AL,20,EU,€1.3M,Fifa Score,Granada CF,€27K,27000,1.3000000
Albania,V. Basha,AL,26,EU,€800K,Fifa Score,Wisła Kraków,€5K,5000,800000
Albania,B. Djimsiti,AL,24,EU,€925K,Fifa Score,Benevento Calcio,€12K,12000,925000
Albania,A. Ajeti,AL,23,EU,€975K,Fifa Score,Crotone,€18K,18000,975000
Albania,E. Lenjani,AL,27,EU,€1.5M,Fifa Score,FC Sion,€13K,13000,1.5000000
Albania,J. Gjasula,AL,31,EU,€2M,Fifa Score,SpVgg Greuther Fürth,€10K,10000,2000000
Albania,A. Abrashi,AL,27,EU,€2M,Fifa Score,SC Freiburg,€16K,16000,2000000
Albania,S. Çikalleshi,AL,26,EU,€2.8M,Fifa Score,Osmanlıspor,€14K,14000,2.8000000
