country_name,player_name,country_code,age,continent,Value,fifa_score,Club,Salary,salary_n,value_n
Argentina,C. Veloz,AR,19,SA,€40K,Fifa Score,Gimnasia y Esgrima La Plata,€1K,1000,40000
Argentina,E. Alarcón,AR,24,SA,€40K,Fifa Score,Club Atlético Patronato,€1K,1000,40000
Argentina,K. Humeler,AR,20,SA,€70K,Fifa Score,Talleres de Cordoba,€1K,1000,70000
Argentina,A. Rivero,AR,19,SA,€70K,Fifa Score,Arsenal de Sarandí,€1K,1000,70000
Argentina,S. Cáseres,AR,20,SA,€130K,Fifa Score,Vélez Sarsfield,€2K,2000,130000
Argentina,J. Lucero,AR,22,SA,€70K,Fifa Score,Temperley,€1K,1000,70000
Argentina,F. Sosa,AR,17,SA,€130K,Fifa Score,Temperley,€1K,1000,130000
Argentina,F. Vivas,AR,20,SA,€110K,Fifa Score,Vercelli,€1K,1000,110000
Argentina,M. Hernández,AR,18,SA,€140K,Fifa Score,Colon de Santa Fe,€1K,1000,140000
Argentina,V. Barbero,AR,16,SA,€130K,Fifa Score,Belgrano de Córdoba,€1K,1000,130000
Argentina,E. Martinez,AR,20,SA,€100K,Fifa Score,Gimnasia y Esgrima La Plata,€2K,2000,100000
Argentina,F. Asmar,AR,17,SA,€160K,Fifa Score,Temperley,€1K,1000,160000
Argentina,F. Urraburo,AR,26,SA,€80K,Fifa Score,San Martín de San Juan,€1K,1000,80000
Argentina,L. Mulazzi,AR,17,SA,€160K,Fifa Score,Temperley,€1K,1000,160000
Argentina,N. Bustos,AR,18,SA,€180K,Fifa Score,Talleres de Cordoba,€1K,1000,180000
Argentina,A. Bolivar,AR,21,SA,€120K,Fifa Score,Gimnasia y Esgrima La Plata,€2K,2000,120000
Argentina,F. Antúnez,AR,18,SA,€190K,Fifa Score,Temperley,€1K,1000,190000
Argentina,M. Miño,AR,19,SA,€160K,Fifa Score,Rosario Central,€1K,1000,160000
Argentina,A. Verdugo,AR,19,SA,€150K,Fifa Score,Godoy Cruz,€1K,1000,150000
Argentina,N. Benavidez,AR,25,SA,€90K,Fifa Score,Gimnasia y Esgrima La Plata,€2K,2000,90000
Argentina,T. Attis,AR,17,SA,€180K,Fifa Score,Belgrano de Córdoba,€1K,1000,180000
Argentina,J. Rikemberg,AR,18,SA,€190K,Fifa Score,Belgrano de Córdoba,€1K,1000,190000
Argentina,N. Giménez,AR,21,SA,€140K,Fifa Score,Talleres de Cordoba,€2K,2000,140000
Argentina,J. Díaz,AR,19,SA,€150K,Fifa Score,Estudiantes de La Plata,€1K,1000,150000
Argentina,L. Rivas,AR,17,SA,€200K,Fifa Score,Rosario Central,€1K,1000,200000
Argentina,I. Chicco,AR,21,SA,€160K,Fifa Score,Colon de Santa Fe,€1K,1000,160000
Argentina,M. Díaz,AR,27,SA,€80K,Fifa Score,Club Atlético Tigre,€2K,2000,80000
Argentina,M. Melluso,AR,19,SA,€170K,Fifa Score,Gimnasia y Esgrima La Plata,€1K,1000,170000
Argentina,R. Mierez,AR,20,SA,€200K,Fifa Score,Club Atlético Tigre,€2K,2000,200000
Argentina,J. Pourtau,AR,17,SA,€150K,Fifa Score,Estudiantes de La Plata,€1K,1000,150000
Argentina,G. Mancuso,AR,19,SA,€180K,Fifa Score,Vélez Sarsfield,€1K,1000,180000
Argentina,N. Herranz,AR,23,SA,€130K,Fifa Score,Bahía Blanca,€1K,1000,130000
Argentina,F. Pardo,AR,20,SA,€160K,Fifa Score,Belgrano de Córdoba,€1K,1000,160000
Argentina,F. Britos,AR,21,SA,€170K,Fifa Score,Unión de Santa Fe,€2K,2000,170000
Argentina,A. Pucheta,AR,22,SA,€120K,Fifa Score,San Martín de San Juan,€1K,1000,120000
Argentina,S. Lomónaco,AR,18,SA,€220K,Fifa Score,Arsenal de Sarandí,€1K,1000,220000
Argentina,N. Maná,AR,23,SA,€140K,Fifa Score,San Martín de San Juan,€2K,2000,140000
Argentina,T. Figueroa,AR,22,SA,€110K,Fifa Score,Vélez Sarsfield,€1K,1000,110000
Argentina,F. Brener,AR,19,SA,€190K,Fifa Score,Belgrano de Córdoba,€1K,1000,190000
Argentina,F. Pizzicanella,AR,21,SA,€120K,Fifa Score,Atlético Tucumán,€1K,1000,120000
Argentina,K. Genaro,AR,25,SA,€130K,Fifa Score,Patriotas Boyacá FC,€1K,1000,130000
Argentina,G. Ferreyra,AR,21,SA,€160K,Fifa Score,Arsenal de Sarandí,€1K,1000,160000
Argentina,J. Ibáñez,AR,21,SA,€170K,Fifa Score,Chacarita Juniors,€2K,2000,170000
Argentina,B. Rivero,AR,21,SA,€150K,Fifa Score,Newell's Old Boys,€2K,2000,150000
Argentina,L. Lescano,AR,17,SA,€210K,Fifa Score,Chacarita Juniors,€1K,1000,210000
Argentina,L. Vera,AR,20,SA,€150K,Fifa Score,Club Atlético Lanús,€2K,2000,150000
Argentina,A. Gómez,AR,20,SA,€130K,Fifa Score,AIK Solna,€1K,1000,130000
Argentina,M. Nani,AR,19,SA,€250K,Fifa Score,Temperley,€1K,1000,250000
Argentina,F. Melivilo,AR,25,SA,€160K,Fifa Score,Defensa y Justicia,€2K,2000,160000
Argentina,C. Bravo,AR,20,SA,€190K,Fifa Score,Banfield,€2K,2000,190000
Argentina,A. Montiel,AR,23,SA,€150K,Fifa Score,Atlético Tucumán,€1K,1000,150000
Argentina,L. Chiappero,AR,23,SA,€120K,Fifa Score,Defensa y Justicia,€1K,1000,120000
Argentina,M. Carabajal,AR,20,SA,€170K,Fifa Score,Arsenal de Sarandí,€1K,1000,170000
Argentina,F. Malagueño,AR,18,SA,€230K,Fifa Score,Talleres de Cordoba,€1K,1000,230000
Argentina,M. Roffo,AR,17,SA,€230K,Fifa Score,Boca Juniors,€1K,1000,230000
Argentina,J. Romero,AR,16,SA,€280K,Fifa Score,Atlético Tucumán,€1K,1000,280000
Argentina,J. Torres,AR,20,SA,€220K,Fifa Score,Newell's Old Boys,€2K,2000,220000
Argentina,M. Ruiz Díaz,AR,20,SA,€190K,Fifa Score,Estudiantes de La Plata,€2K,2000,190000
Argentina,N. Giménez,AR,20,SA,€220K,Fifa Score,Rosario Central,€2K,2000,220000
Argentina,F. Mac Allister,AR,21,SA,€200K,Fifa Score,Argentinos Juniors,€2K,2000,200000
Argentina,M. Peano,AR,18,SA,€210K,Fifa Score,Unión de Santa Fe,€1K,1000,210000
Argentina,C. Velásquez,AR,31,SA,€110K,Fifa Score,Jaguares Fútbol Club,€1K,1000,110000
Argentina,F. Bonansea,AR,19,SA,€190K,Fifa Score,Belgrano de Córdoba,€1K,1000,190000
Argentina,M. Payero,AR,18,SA,€260K,Fifa Score,Banfield,€1K,1000,260000
Argentina,T. Guidara,AR,21,SA,€180K,Fifa Score,Belgrano de Córdoba,€1K,1000,180000
Argentina,M. Tissera,AR,20,SA,€190K,Fifa Score,Newell's Old Boys,€2K,2000,190000
Argentina,N. Czornomaz,AR,21,SA,€170K,Fifa Score,Defensa y Justicia,€2K,2000,170000
Argentina,L. Álvarez,AR,23,SA,€140K,Fifa Score,Chacarita Juniors,€1K,1000,140000
Argentina,N. Ortiz,AR,22,SA,€150K,Fifa Score,Gimnasia y Esgrima La Plata,€2K,2000,150000
Argentina,L. Godoy,AR,22,SA,€200K,Fifa Score,Arsenal de Sarandí,€1K,1000,200000
Argentina,L. Morales,AR,26,SA,€130K,Fifa Score,Club Atlético Patronato,€2K,2000,130000
Argentina,M. Rodríguez,AR,24,SA,€210K,Fifa Score,Chacarita Juniors,€2K,2000,210000
Argentina,N. Arena,AR,18,SA,€220K,Fifa Score,Vélez Sarsfield,€1K,1000,220000
Argentina,J. Álvarez,AR,19,SA,€325K,Fifa Score,Chacarita Juniors,€1K,1000,325000
Argentina,M. Mellado,AR,24,SA,€180K,Fifa Score,Chacarita Juniors,€2K,2000,180000
Argentina,A. Araujo,AR,25,SA,€200K,Fifa Score,Talleres de Cordoba,€2K,2000,200000
Argentina,V. Ramis,AR,22,SA,€210K,Fifa Score,Godoy Cruz,€2K,2000,210000
Argentina,G. Caffa,AR,36,SA,€20K,Fifa Score,Corporación Club Deportivo Tuluá,€1K,1000,20000
Argentina,I. Gómez,AR,20,SA,€270K,Fifa Score,Estudiantes de La Plata,€2K,2000,270000
Argentina,M. González,AR,20,SA,€240K,Fifa Score,Chacarita Juniors,€3K,3000,240000
Argentina,C. Guanca,AR,24,SA,€200K,Fifa Score,Colon de Santa Fe,€2K,2000,200000
Argentina,F. Cambeses,AR,20,SA,€280K,Fifa Score,Banfield,€1K,1000,280000
Argentina,M. Velazco,AR,22,SA,€170K,Fifa Score,Arsenal de Sarandí,€2K,2000,170000
Argentina,J. Chicco,AR,19,SA,€300K,Fifa Score,Boca Juniors,€2K,2000,300000
Argentina,J. Pereyra,AR,18,SA,€325K,Fifa Score,Rosario Central,€1K,1000,325000
Argentina,M. Ortíz,AR,23,SA,€170K,Fifa Score,Rosario Central,€2K,2000,170000
Argentina,B. Volpini,AR,19,SA,€325K,Fifa Score,Belgrano de Córdoba,€1K,1000,325000
