country_name,player_name,country_code,age,continent,Value,fifa_score,Club,Salary,salary_n,value_n
Barbados,J. Forte,BB,30,NA,€525K,Fifa Score,Notts County,€7K,7000,525000
Belize,M. Salazar,BZ,24,NA,€600K,Fifa Score,Montreal Impact,€2K,2000,600000
Bermuda,F. Hall,BM,32,NA,€70K,Fifa Score,Limerick FC,€1K,1000,70000
Bermuda,Z. Lewis,BM,23,NA,€325K,Fifa Score,New York Red Bulls,€1K,1000,325000
Bermuda,R. Lambe,BM,26,NA,€425K,Fifa Score,Carlisle United,€3K,3000,425000
Bermuda,N. Wells,BM,27,NA,€3.6M,Fifa Score,Burnley,€38K,38000,3.6000000
Canada,K. Awuah,CA,21,NA,€120K,Fifa Score,New York City Football Club,€1K,1000,120000
Canada,A. Didic,CA,22,NA,€90K,Fifa Score,Sporting Kansas City,€1K,1000,90000
Canada,K. Twardek,CA,20,NA,€150K,Fifa Score,Millwall,€4K,4000,150000
Canada,A. Reid,CA,17,NA,€140K,Fifa Score,FC Dallas,€1K,1000,140000
Canada,D. Zanatta,CA,20,NA,€200K,Fifa Score,Heart of Midlothian,€1K,1000,200000
Canada,Z. Messoudi,CA,23,NA,€130K,Fifa Score,Odds BK,€1K,1000,130000
Canada,S. Shome,CA,19,NA,€180K,Fifa Score,Montreal Impact,€1K,1000,180000
Canada,B. Levis,CA,24,NA,€150K,Fifa Score,Vancouver Whitecaps FC,€1K,1000,150000
Canada,R. Laryea,CA,22,NA,€170K,Fifa Score,Orlando City Soccer Club,€1K,1000,170000
Canada,T. Pasher,CA,23,NA,€170K,Fifa Score,Sporting Kansas City,€1K,1000,170000
Canada,K. Stamatopoulos,CA,37,NA,€10K,Fifa Score,AIK Solna,€1K,1000,10000
Canada,B. Wright,CA,22,NA,€230K,Fifa Score,New England Revolution,€1K,1000,230000
Canada,S. Camargo,CA,22,NA,€200K,Fifa Score,Toronto FC,€1K,1000,200000
Canada,M. Kaye,CA,22,NA,€0,Fifa Score,"",€0.00,0.00,0
Canada,M. Bustos,CA,21,NA,€300K,Fifa Score,Vancouver Whitecaps FC,€1K,1000,300000
Canada,D. Choinière,CA,20,NA,€525K,Fifa Score,Montreal Impact,€1K,1000,525000
Canada,T. Chencinski,CA,32,NA,€170K,Fifa Score,Shamrock Rovers,€1K,1000,170000
Canada,M. Crépeau,CA,23,NA,€325K,Fifa Score,Montreal Impact,€1K,1000,325000
Canada,L. Béland-Goyette,CA,21,NA,€500K,Fifa Score,Montreal Impact,€1K,1000,500000
Canada,M. Haber,CA,28,NA,€375K,Fifa Score,Dundee FC,€2K,2000,375000
Canada,F. Aird,CA,22,NA,€0,Fifa Score,"",€0.00,0.00,0
Canada,J. Chapman,CA,23,NA,€650K,Fifa Score,Toronto FC,€2K,2000,650000
Canada,S. Jackson,CA,30,NA,€425K,Fifa Score,Walsall,€4K,4000,425000
Canada,W. Lefèvre,CA,27,NA,€375K,Fifa Score,Montreal Impact,€2K,2000,375000
Canada,D. Stanese,CA,23,NA,€500K,Fifa Score,VfR Aalen,€1K,1000,500000
Canada,A. Morgan,CA,26,NA,€425K,Fifa Score,Toronto FC,€2K,2000,425000
Canada,M. Petrasso,CA,21,NA,€800K,Fifa Score,Queens Park Rangers,€6K,6000,800000
Canada,S. Adekugbe,CA,22,NA,€650K,Fifa Score,IFK Göteborg,€2K,2000,650000
Canada,J. Hamilton,CA,21,NA,€825K,Fifa Score,Toronto FC,€2K,2000,825000
Canada,D. Henry,CA,24,NA,€750K,Fifa Score,West Ham United,€17K,17000,750000
Canada,D. Jaković,CA,31,NA,€0,Fifa Score,"",€0.00,0.00,0
Canada,M. de Jong,CA,30,NA,€475K,Fifa Score,Vancouver Whitecaps FC,€2K,2000,475000
Canada,R. Edwards,CA,21,NA,€1.2M,Fifa Score,Toronto FC,€2K,2000,1.2000000
Canada,A. Hainault,CA,31,NA,€425K,Fifa Score,1. FC Magdeburg,€1K,1000,425000
Canada,R. Teibert,CA,24,NA,€675K,Fifa Score,Vancouver Whitecaps FC,€2K,2000,675000
Canada,M. Wassey,CA,29,NA,€625K,Fifa Score,SC Paderborn 07,€1K,1000,625000
Canada,A. Straith,CA,26,NA,€550K,Fifa Score,Sportfreunde Lotte,€1K,1000,550000
Canada,T. Ricketts,CA,29,NA,€650K,Fifa Score,Toronto FC,€3K,3000,650000
Canada,T. Akindele,CA,25,NA,€950K,Fifa Score,FC Dallas,€6K,6000,950000
Canada,L. Cavallini,CA,24,NA,€1.1M,Fifa Score,Puebla,€6K,6000,1.1000000
Canada,A. Jackson-Hamel,CA,23,NA,€1.1M,Fifa Score,Montreal Impact,€5K,5000,1.1000000
Canada,J. Leutwiler,CA,28,NA,€525K,Fifa Score,Blackburn Rovers,€7K,7000,525000
Canada,O. Occéan,CA,35,NA,€350K,Fifa Score,Odds BK,€3K,3000,350000
Canada,M. James,CA,23,NA,€0,Fifa Score,"",€0.00,0.00,0
Canada,J. Osorio,CA,25,NA,€1.2M,Fifa Score,Toronto FC,€5K,5000,1.2000000
Canada,D. Edgar,CA,30,NA,€675K,Fifa Score,Vancouver Whitecaps FC,€5K,5000,675000
Canada,M. Borjan,CA,29,NA,€0,Fifa Score,"",€0.00,0.00,0
Canada,P. Bernier,CA,37,NA,€280K,Fifa Score,Montreal Impact,€4K,4000,280000
Canada,Steven Vitória,CA,30,NA,€675K,Fifa Score,Lechia Gdańsk,€6K,6000,675000
Canada,S. Piette,CA,22,NA,€1.3M,Fifa Score,Montreal Impact,€4K,4000,1.3000000
Canada,W. Johnson,CA,30,NA,€1.6M,Fifa Score,Orlando City Soccer Club,€7K,7000,1.6000000
Canada,J. Hoilett,CA,27,NA,€3.3M,Fifa Score,Cardiff City,€21K,21000,3.3000000
Canada,C. Larin,CA,22,NA,€6M,Fifa Score,Orlando City Soccer Club,€9K,9000,6000000
Canada,S. Arfield,CA,28,NA,€4M,Fifa Score,Burnley,€51K,51000,4000000
Canada,A. Hutchinson,CA,34,NA,€4.5M,Fifa Score,Beşiktaş JK,€56K,56000,4.5000000
Costa Rica,A. Lassiter,CR,22,NA,€475K,Fifa Score,LA Galaxy,€2K,2000,475000
Costa Rica,R. Leal,CR,20,NA,€475K,Fifa Score,KV Mechelen,€2K,2000,475000
Costa Rica,D. Carvajal,CR,28,NA,€260K,Fifa Score,Albacete Balompié,€2K,2000,260000
Costa Rica,D. Vega,CR,24,NA,€575K,Fifa Score,SK Brann,€2K,2000,575000
Costa Rica,F. Brown Forbes,CR,25,NA,€475K,Fifa Score,Amkar Perm,€6K,6000,475000
Costa Rica,M. George,CR,23,NA,€625K,Fifa Score,Lyngby BK,€4K,4000,625000
Costa Rica,J. Leitón,CR,23,NA,€700K,Fifa Score,Minnesota Thunder,€2K,2000,700000
Costa Rica,E. Alvarado,CR,28,NA,€525K,Fifa Score,Trabzonspor,€14K,14000,525000
Costa Rica,J. Venegas,CR,28,NA,€775K,Fifa Score,Minnesota Thunder,€6K,6000,775000
Costa Rica,Y. Tejeda,CR,25,NA,€1.1M,Fifa Score,FC Lausanne-Sports,€7K,7000,1.1000000
Costa Rica,G. Torres,CR,19,NA,€1.2M,Fifa Score,Club América,€16K,16000,1.2000000
Costa Rica,J. Ruiz,CR,23,NA,€1.2M,Fifa Score,Al Fayha,€11K,11000,1.2000000
Costa Rica,M. Ureña,CR,27,NA,€1M,Fifa Score,San Jose Earthquakes,€6K,6000,1000000
Costa Rica,R. Wallace,CR,29,NA,€875K,Fifa Score,New York City Football Club,€6K,6000,875000
Costa Rica,W. Francis,CR,26,NA,€850K,Fifa Score,Columbus Crew SC,€5K,5000,850000
Costa Rica,R. Miller,CR,32,NA,€600K,Fifa Score,Portland Timbers,€5K,5000,600000
Costa Rica,B. Acosta,CR,30,NA,€1.8M,Fifa Score,SK Brann,€5K,5000,1.8000000
Costa Rica,C. Bolaños,CR,33,NA,€1.4M,Fifa Score,Vancouver Whitecaps FC,€7K,7000,1.4000000
Costa Rica,F. Calvo,CR,24,NA,€2.4M,Fifa Score,Minnesota Thunder,€5K,5000,2.4000000
Costa Rica,R. Matarrita,CR,22,NA,€2.8M,Fifa Score,New York City Football Club,€5K,5000,2.8000000
Costa Rica,D. Guzman,CR,27,NA,€2.9M,Fifa Score,Portland Timbers,€6K,6000,2.9000000
Costa Rica,B. Oviedo,CR,27,NA,€2.6M,Fifa Score,Sunderland,€8K,8000,2.6000000
Costa Rica,C. Gamboa,CR,27,NA,€2.6M,Fifa Score,Celtic,€32K,32000,2.6000000
Costa Rica,K. Waston,CR,29,NA,€4.4M,Fifa Score,Vancouver Whitecaps FC,€9K,9000,4.4000000
Costa Rica,G. González,CR,29,NA,€5M,Fifa Score,Bologna,€44K,44000,5000000
Costa Rica,J. Campbell,CR,25,NA,€11M,Fifa Score,Real Betis Balompié,€92K,92000,11000000
Costa Rica,B. Ruíz,CR,31,NA,€8M,Fifa Score,Sporting CP,€19K,19000,8000000
Costa Rica,O. Duarte,CR,28,NA,€7M,Fifa Score,RCD Espanyol,€30K,30000,7000000
Costa Rica,K. Navas,CR,30,NA,€24.5M,Fifa Score,Real Madrid CF,€165K,165000,24.5000000
Cuba,O. Hernández,CU,24,NA,€1.4M,Fifa Score,Eintracht Braunschweig,€13K,13000,1.4000000
Cuba,O. Alonso,CU,31,NA,€6M,Fifa Score,Seattle Sounders FC,€10K,10000,6000000
Dominican Republic,J. Firpo,DO,20,NA,€290K,Fifa Score,Real Betis Balompié,€2K,2000,290000
Dominican Republic,Tano Bonnin,DO,27,NA,€3.9M,Fifa Score,CA Osasuna,€10K,10000,3.9000000
Dominican Republic,Mariano,DO,23,NA,€10.5M,Fifa Score,Olympique Lyonnais,€59K,59000,10.5000000
El Salvador,A. Alvarez,SV,32,NA,€700K,Fifa Score,Chicago Fire Soccer Club,€5K,5000,700000
El Salvador,D. Cerén,SV,27,NA,€1.5M,Fifa Score,San Jose Earthquakes,€6K,6000,1.5000000
Grenada,A. Pierre,GD,24,NA,€600K,Fifa Score,Northampton Town,€2K,2000,600000
Guatemala,R. Jérez,GT,31,NA,€1.9M,Fifa Score,Asociacion Deportivo Cali,€1K,1000,1.9000000
Haiti,B. Chevreuil,HT,20,NA,€70K,Fifa Score,La Berrichonne de Châteauroux,€1K,1000,70000
Haiti,P. Millien,HT,31,NA,€90K,Fifa Score,Finn Harps,€1K,1000,90000
Haiti,Z. Herivaux,HT,21,NA,€220K,Fifa Score,New England Revolution,€1K,1000,220000
Haiti,C. Arcus,HT,21,NA,€210K,Fifa Score,AJ Auxerre,€1K,1000,210000
Haiti,D. Nazon,HT,23,NA,€300K,Fifa Score,Coventry City,€6K,6000,300000
Haiti,R. Sprangers,HT,19,NA,€400K,Fifa Score,NAC Breda,€1K,1000,400000
Haiti,A. Faustin,HT,20,NA,€350K,Fifa Score,SV Zulte-Waregem,€2K,2000,350000
Haiti,D. Etienne Jr.,HT,20,NA,€500K,Fifa Score,New York Red Bulls,€2K,2000,500000
Haiti,J. Placide,HT,29,NA,€425K,Fifa Score,Oldham Athletic,€2K,2000,425000
Haiti,J. Sony Alcenat,HT,31,NA,€700K,Fifa Score,CD Feirense,€6K,6000,700000
Haiti,S. Mustivar,HT,27,NA,€1M,Fifa Score,Sporting Kansas City,€5K,5000,1000000
Haiti,R. Goreux,HT,29,NA,€1.3M,Fifa Score,Standard de Liège,€11K,11000,1.3000000
Haiti,R. Genevois,HT,29,NA,€2.4M,Fifa Score,SM Caen,€16K,16000,2.4000000
Haiti,J. Louis,HT,24,NA,€4.2M,Fifa Score,SM Caen,€14K,14000,4.2000000
Honduras,R. Rivas,HN,18,NA,€575K,Fifa Score,Brescia,€6K,6000,575000
Honduras,M. Figueroa,HN,34,NA,€250K,Fifa Score,FC Dallas,€5K,5000,250000
Honduras,B. Acosta,HN,23,NA,€1.1M,Fifa Score,CD Tenerife,€5K,5000,1.1000000
Honduras,E. Izaguirre,HN,31,NA,€575K,Fifa Score,Al Fayha,€12K,12000,575000
Honduras,B. Beckeles,HN,31,NA,€700K,Fifa Score,Necaxa,€8K,8000,700000
Honduras,O. García,HN,32,NA,€825K,Fifa Score,Houston Dynamo,€5K,5000,825000
Honduras,Jona,HN,28,NA,€1.8M,Fifa Score,Córdoba CF,€10K,10000,1.8000000
Honduras,R. Quioto,HN,25,NA,€2.8M,Fifa Score,Houston Dynamo,€7K,7000,2.8000000
Honduras,R. Espinoza,HN,30,NA,€2.2M,Fifa Score,Sporting Kansas City,€7K,7000,2.2000000
Honduras,V. Bernárdez,HN,35,NA,€725K,Fifa Score,San Jose Earthquakes,€4K,4000,725000
Honduras,A. Elis,HN,21,NA,€4.6M,Fifa Score,Houston Dynamo,€30K,30000,4.6000000
Honduras,A. Lozano,HN,24,NA,€5.5M,Fifa Score,FC Barcelona B,€9K,9000,5.5000000
Honduras,A. Najar,HN,24,NA,€6M,Fifa Score,RSC Anderlecht,€18K,18000,6000000
Jamaica,A. Rose,JM,18,NA,€40K,Fifa Score,Grimsby Town,€1K,1000,40000
Jamaica,R. Clarke,JM,21,NA,€120K,Fifa Score,Portland Timbers,€1K,1000,120000
Jamaica,J. Brown,JM,22,NA,€180K,Fifa Score,Cambridge United,€3K,3000,180000
Jamaica,O. Holness,JM,23,NA,€200K,Fifa Score,Real Salt Lake,€1K,1000,200000
Jamaica,M. Bean,JM,33,NA,€120K,Fifa Score,Wycombe Wanderers,€3K,3000,120000
Jamaica,J. Morias,JM,21,NA,€350K,Fifa Score,Peterborough United,€2K,2000,350000
Jamaica,T. Robinson,JM,28,NA,€260K,Fifa Score,Southend United,€2K,2000,260000
Jamaica,C. Humphrey,JM,29,NA,€300K,Fifa Score,Bury,€2K,2000,300000
Jamaica,J. Matt,JM,27,NA,€350K,Fifa Score,Grimsby Town,€2K,2000,350000
Jamaica,D. Orgill,JM,27,NA,€350K,Fifa Score,Wolfsberger AC,€3K,3000,350000
Jamaica,J. Watson,JM,33,NA,€170K,Fifa Score,New England Revolution,€2K,2000,170000
Jamaica,O. Fisher,JM,25,NA,€450K,Fifa Score,Seattle Sounders FC,€2K,2000,450000
Jamaica,J. Taylor,JM,32,NA,€260K,Fifa Score,Minnesota Thunder,€2K,2000,260000
Jamaica,N. Smith,JM,30,NA,€325K,Fifa Score,Yeovil Town,€3K,3000,325000
Jamaica,J. Campbell-Ryce,JM,34,NA,€270K,Fifa Score,Barnet,€4K,4000,270000
Jamaica,J. Grant,JM,29,NA,€525K,Fifa Score,Plymouth Argyle,€4K,4000,525000
Jamaica,S. Francis,JM,30,NA,€400K,Fifa Score,Montreal Impact,€2K,2000,400000
Jamaica,S. Cummings,JM,28,NA,€500K,Fifa Score,Rotherham United,€4K,4000,500000
Jamaica,M. Marshall,JM,30,NA,€600K,Fifa Score,Charlton Athletic,€4K,4000,600000
Jamaica,D. Mattocks,JM,26,NA,€700K,Fifa Score,Portland Timbers,€3K,3000,700000
