country_name,player_name,country_code,age,continent,Value,fifa_score,Club,Salary,salary_n,value_n
Australia,M. Moric,AU,17,OC,€60K,Fifa Score,Newcastle Jets,€1K,1000,60000
Australia,K. Baccus,AU,19,OC,€60K,Fifa Score,Western Sydney Wanderers,€1K,1000,60000
Australia,R. Ogle,AU,18,OC,€50K,Fifa Score,Accrington Stanley,€1K,1000,50000
Australia,D. Pierias,AU,17,OC,€50K,Fifa Score,Melbourne City,€1K,1000,50000
Australia,C. McGilp,AU,19,OC,€60K,Fifa Score,Melbourne Victory,€1K,1000,60000
Australia,C. Metcalfe,AU,17,OC,€60K,Fifa Score,Melbourne City,€1K,1000,60000
Australia,J. Delianov,AU,17,OC,€70K,Fifa Score,Melbourne City,€1K,1000,70000
Australia,J. Champness,AU,20,OC,€110K,Fifa Score,Newcastle Jets,€1K,1000,110000
Australia,A. Burke-Gilroy,AU,19,OC,€110K,Fifa Score,Newcastle Jets,€1K,1000,110000
Australia,K. Rowles,AU,19,OC,€100K,Fifa Score,Central Coast Mariners,€1K,1000,100000
Australia,M. Tokich,AU,18,OC,€100K,Fifa Score,Western Sydney Wanderers,€1K,1000,100000
Australia,A. Maynard-Brewer,AU,18,OC,€100K,Fifa Score,Charlton Athletic,€1K,1000,100000
Australia,C. Theoharous,AU,17,OC,€100K,Fifa Score,Melbourne Victory,€1K,1000,100000
Australia,L. Barr,AU,22,OC,€60K,Fifa Score,Bradford City,€1K,1000,60000
Australia,P. Waring,AU,18,OC,€100K,Fifa Score,Melbourne Victory,€1K,1000,100000
Australia,C. O'Toole,AU,19,OC,€90K,Fifa Score,Brisbane Roar,€1K,1000,90000
Australia,J. Hope,AU,19,OC,€130K,Fifa Score,Melbourne Victory,€1K,1000,130000
Australia,S. Brady,AU,21,OC,€100K,Fifa Score,Brisbane Roar,€1K,1000,100000
Australia,M. Shabow,AU,19,OC,€100K,Fifa Score,Newcastle Jets,€1K,1000,100000
Australia,E. Martinez,AU,18,OC,€110K,Fifa Score,Brisbane Roar,€1K,1000,110000
Australia,C. Zuvela,AU,20,OC,€120K,Fifa Score,Sydney FC,€1K,1000,120000
Australia,A. Majok,AU,18,OC,€120K,Fifa Score,Western Sydney Wanderers,€1K,1000,120000
Australia,T. Bilic,AU,19,OC,€80K,Fifa Score,Brisbane Roar,€1K,1000,80000
Australia,N. Konstandopoulos,AU,21,OC,€120K,Fifa Score,Adelaide United,€1K,1000,120000
Australia,G. Cleur,AU,19,OC,€110K,Fifa Score,Virtus Entella,€1K,1000,110000
Australia,J. Reiners,AU,19,OC,€150K,Fifa Score,Perth Glory,€1K,1000,150000
Australia,B. Warland,AU,20,OC,€100K,Fifa Score,Adelaide United,€1K,1000,100000
Australia,B. Crowley,AU,20,OC,€130K,Fifa Score,Melbourne City,€2K,2000,130000
Australia,J. Brimmer,AU,19,OC,€190K,Fifa Score,Perth Glory,€1K,1000,190000
Australia,J. Holmes,AU,20,OC,€160K,Fifa Score,Bournemouth,€4K,4000,160000
Australia,C. Lokolingoy,AU,20,OC,€200K,Fifa Score,Sydney FC,€1K,1000,200000
Australia,G. Blackwood,AU,20,OC,€150K,Fifa Score,Adelaide United,€1K,1000,150000
Australia,D. Alessi,AU,19,OC,€120K,Fifa Score,Newcastle Jets,€1K,1000,120000
Australia,J. Hall,AU,22,OC,€100K,Fifa Score,Western Sydney Wanderers,€1K,1000,100000
Australia,N. Feely,AU,25,OC,€90K,Fifa Score,Perth Glory,€1K,1000,90000
Australia,D. Stynes,AU,18,OC,€140K,Fifa Score,Perth Glory,€1K,1000,140000
Australia,R. Lowry,AU,23,OC,€120K,Fifa Score,Wellington Phoenix,€1K,1000,120000
Australia,D. Margush,AU,19,OC,€180K,Fifa Score,Adelaide United,€1K,1000,180000
Australia,A. Pearce,AU,20,OC,€190K,Fifa Score,Central Coast Mariners,€1K,1000,190000
Australia,J. Adelson,AU,21,OC,€160K,Fifa Score,Newcastle Jets,€1K,1000,160000
Australia,N. D'Agostino,AU,19,OC,€170K,Fifa Score,Brisbane Roar,€1K,1000,170000
Australia,K. Petratos,AU,19,OC,€220K,Fifa Score,Newcastle Jets,€1K,1000,220000
Australia,M. Warren,AU,25,OC,€100K,Fifa Score,Perth Glory,€1K,1000,100000
Australia,M. Oxborrow,AU,22,OC,€140K,Fifa Score,Brisbane Roar,€1K,1000,140000
Australia,M. Ochieng,AU,20,OC,€130K,Fifa Score,Adelaide United,€1K,1000,130000
Australia,M. Acton,AU,25,OC,€120K,Fifa Score,Melbourne Victory,€1K,1000,120000
Australia,R. Kitto,AU,22,OC,€190K,Fifa Score,Adelaide United,€1K,1000,190000
Australia,D. Arzani,AU,18,OC,€260K,Fifa Score,Melbourne City,€1K,1000,260000
